A,B,C,D
1.0,4.0,35.09999999731779,71.35999999523163
2.0,8.0,38.98,131.28000001192092
3.0,5.0,43.23,86.16000000715256
4.0,39.0,47.199999998807904,595.999999999553
5.0,30.0,51.05000000029802,460.98
6.0,34.0,55.13999999642372,521.050000000298
7.0,8.0,59.26000000119209,131.1999999988079
8.0,20.0,63.32999999403953,311.1899999934435
9.0,13.0,67.07000000357628,206.21000000417231
10.0,3.0,71.34000001430512,56.29000000238418
11.0,27.0,75.03000000074506,416.1899999934435
12.0,36.0,79.21999999463559,550.9899999997765
13.0,34.0,83.35999999523163,521.3699999856949
14.0,22.0,87.01999999910593,341.1600000071526
15.0,25.0,91.21000000417233,386.35999999523165
16.0,38.0,95.1899999934435,581.2100000041723
17.0,16.0,99.13000000596047,251.09999999731778
18.0,31.0,103.13000000596047,476.1300000059605
19.0,33.0,107.08000000149012,506.08000000149013
20.0,30.0,111.10999999523163,461.3200000035763
21.0,24.0,115.34000001430512,371.3699999856949
22.0,17.0,119.10999999523163,265.9899999997765
23.0,16.0,123.1899999934435,251.01999999910592
24.0,1.0,127.08999999940396,26.05999999821186
25.0,37.0,131.1399999964237,566.089999999404
26.0,19.0,135.36999998569488,296.1899999934435
27.0,8.0,139.29000000238418,131.23
28.0,6.0,143.15000000178813,101.05999999821186
29.0,19.0,146.98,296.3500000047684
30.0,15.0,150.99999999955295,235.98
31.0,37.0,155.23999999046325,566.1399999964237
32.0,35.0,159.15000000178813,536.1600000071526
33.0,33.0,163.36999998569488,506.16999999761583
34.0,0.0,167.07000000357627,11.180000002980233
35.0,24.0,171.26000000119208,371.2600000011921
36.0,3.0,175.0800000014901,56.09999999731779
37.0,6.0,178.98999999977647,101.16000000715256
38.0,38.0,183.07000000357627,581.1300000059605
39.0,19.0,187.25000001072883,296.2600000011921
40.0,2.0,191.16000000715255,41.05000000029802
41.0,32.0,195.32000000357627,490.999999999553
42.0,25.0,199.35999999523162,386.23
43.0,13.0,203.25000001072883,206.18000000298022
44.0,1.0,207.18000000298022,26.28000001192093
45.0,23.0,211.16000000715255,356.2900000023842
46.0,38.0,215.00999999932944,581.2999999928475
47.0,8.0,219.18999999344348,131.18999999344348
48.0,21.0,223.07000000357627,326.05000000029804
49.0,33.0,227.1399999964237,506.12000000059606
50.0,2.0,231.29000000238418,40.98999999977648
51.0,13.0,235.21000000417231,206.21999999463557
52.0,23.0,239.23999999046325,356.23
53.0,23.0,243.310000013113,356.21000000417234
54.0,1.0,247.1699999976158,26.26999999165535
55.0,25.0,251.18000000298022,385.9899999997765
56.0,32.0,255.18999999344348,490.999999999553
57.0,22.0,259.32999999403955,340.9899999997765
58.0,19.0,263.1600000071526,296.1999999988079
59.0,8.0,267.21000000417234,131.050000000298
60.0,35.0,271.10999999523165,536.1600000071526
61.0,9.0,275.08000000149013,146.07000000357627
62.0,27.0,279.2199999946356,416.0300000007451
63.0,7.0,283.0599999982119,116.13999999642373
64.0,31.0,287.2600000011921,476.29999999284746
65.0,18.0,291.28000001192095,281.18000000298025
66.0,12.0,295.25000001072885,191.23
67.0,31.0,299.16999999761583,476.08000000149013
68.0,7.0,303.00999999932947,115.98
69.0,23.0,307.2900000023842,356.00999999932947
70.0,34.0,311.3699999856949,521.1999999988079
71.0,29.0,315.0599999982119,446.0999999973178
72.0,24.0,318.999999999553,371.1300000059605
73.0,25.0,323.1999999988079,386.0399999986589
74.0,25.0,327.089999999404,386.29999999284746
75.0,15.0,331.0999999973178,236.00999999932944
76.0,23.0,334.999999999553,356.2600000011921
77.0,1.0,339.31000001311304,25.98
78.0,37.0,342.999999999553,566.1600000071526
79.0,16.0,346.999999999553,251.0800000014901
80.0,4.0,351.1300000059605,71.16999999761582
81.0,28.0,355.089999999404,430.999999999553
82.0,39.0,359.0300000007451,595.98
83.0,28.0,363.0399999986589,431.15000000178816
84.0,15.0,367.16999999761583,236.05999999821185
85.0,38.0,371.2900000023842,581.2600000011921
86.0,16.0,375.3500000047684,251.10999999523162
87.0,15.0,379.21000000417234,236.36999998569488
88.0,13.0,383.0300000007451,206.12000000059604
89.0,3.0,387.05000000029804,56.030000000745055
90.0,20.0,391.3500000047684,311.2399999904633
91.0,31.0,395.1300000059605,476.00999999932947
92.0,39.0,399.29999999284746,596.3299999940396
93.0,9.0,403.1899999934435,146.01999999910592
94.0,20.0,407.0999999973178,311.18000000298025
95.0,25.0,411.1600000071526,386.16999999761583
96.0,16.0,415.3699999856949,250.98
97.0,26.0,419.01999999910595,401.28000001192095
98.0,17.0,423.31000001311304,266.29999999284746
99.0,33.0,427.2199999946356,506.15000000178816
100.0,1.0,431.0399999986589,26.15000000178814
